Generation 1, Best Fitness: 0.75
Generation 2, Best Fitness: 0.625
Generation 3, Best Fitness: 0.625
Generation 4, Best Fitness: 0.625
Generation 5, Best Fitness: 0.625
Generation 6, Best Fitness: 0.625
Generation 7, Best Fitness: 0.625
Generation 8, Best Fitness: 0.625
Generation 9, Best Fitness: 0.625
Generation 10, Best Fitness: 0.625
Generation 11, Best Fitness: 0.625
Generation 12, Best Fitness: 0.625
Generation 13, Best Fitness: 0.625
Generation 14, Best Fitness: 0.625
Generation 15, Best Fitness: 0.625
Generation 16, Best Fitness: 0.625
Generation 17, Best Fitness: 0.625
Generation 18, Best Fitness: 0.625
Generation 19, Best Fitness: 0.625
Generation 20, Best Fitness: 0.625
Generation 21, Best Fitness: 0.625
Generation 22, Best Fitness: 0.625
Generation 23, Best Fitness: 0.625
Generation 24, Best Fitness: 0.75
Generation 25, Best Fitness: 0.625
Generation 26, Best Fitness: 0.625
Generation 27, Best Fitness: 0.625
Generation 28, Best Fitness: 0.625
Generation 29, Best Fitness: 0.625
Generation 30, Best Fitness: 0.625
Generation 31, Best Fitness: 0.625
Generation 32, Best Fitness: 0.625
Generation 33, Best Fitness: 0.625
Generation 34, Best Fitness: 0.625
Generation 35, Best Fitness: 0.625
Generation 36, Best Fitness: 0.625
Generation 37, Best Fitness: 0.625
Generation 38, Best Fitness: 0.625
Generation 39, Best Fitness: 0.625
Generation 40, Best Fitness: 0.625
Generation 41, Best Fitness: 0.625
Generation 42, Best Fitness: 0.625
Generation 43, Best Fitness: 0.75
Generation 44, Best Fitness: 0.625
Generation 45, Best Fitness: 0.625
Generation 46, Best Fitness: 0.625
Generation 47, Best Fitness: 0.625
Generation 48, Best Fitness: 0.625
Generation 49, Best Fitness: 0.625
Generation 50, Best Fitness: 0.625
Generation 51, Best Fitness: 0.625
Generation 52, Best Fitness: 0.625
Generation 53, Best Fitness: 0.625
Generation 54, Best Fitness: 0.625
Generation 55, Best Fitness: 0.625
Generation 56, Best Fitness: 0.75
Generation 57, Best Fitness: 0.75
Generation 58, Best Fitness: 0.75
Generation 59, Best Fitness: 0.75
Generation 60, Best Fitness: 0.75
Generation 61, Best Fitness: 0.75
Generation 62, Best Fitness: 0.75
Generation 63, Best Fitness: 0.625
Generation 64, Best Fitness: 0.625
Generation 65, Best Fitness: 0.625
Generation 66, Best Fitness: 0.625
Generation 67, Best Fitness: 0.625
Generation 68, Best Fitness: 0.625
Generation 69, Best Fitness: 0.625
Generation 70, Best Fitness: 0.625
Generation 71, Best Fitness: 0.625
Generation 72, Best Fitness: 0.625
Generation 73, Best Fitness: 0.625
Generation 74, Best Fitness: 0.625
Generation 75, Best Fitness: 0.625
Generation 76, Best Fitness: 0.625
